Token	NER
COMEDIA	O
FAMOSA	O
DE	O
LOS	O
RAMILLETES	O
DE	O
MADRID	O
Hablan	O
en	O
ella	O
las	O
personas	O
siguientes	O
marcelo	O
caballero	O
fabio	O
lacayo	O
lisardo	O
alférez	O
fineo	O
caballero	O
rosela	O
dama	O
inés	O
criada	O
otavio	O
viejo	O
lidio	O
paje	O
lucindo	O
lauso	O
belisa	O
dama	O
clara	O
criada	O
liseo	O
celio	O
dominga	O
labradora	O
la	O
música	O
marcelo	O
fabio	O
marcelo	O
fabio	O
marcelo	O
fabio	O
marcelo	O
acto	O
primero	O
Salen	O
Marcelo	O
y	O
Fabio	O
de	O
camino	O
Hay	O
gusto	O
como	O
llegar	O
un	O
ausente	O
adonde	O
quiere	O
Conforme	O
le	O
sucediere	O
y	O
más	O
en	O
este	O
lugar	O
Qué	O
puedo	O
Fabio	O
temer	O
No	O
está	O
Belisa	O
segura	O
Si	O
hay	O
en	O
la	O
corte	O
hermosura	O
es	O
la	O
de	O
aquesta	O
mujer	O
Pues	O
qué	O
más	O
seguridad	O
Segura	O
y	O
mujer	O
hermosa	O
Sí	O
porque	O
en	O
ella	O
es	O
forzosa	O
la	O
arrogancia	O
y	O
gravedad	O
y	O
la	O
presunción	O
de	O
sí	O
Menos	O
segura	O
es	O
la	O
fea	O
que	O
al	O
primero	O
que	O
la	O
vea	O
dirá	O
mil	O
veces	O
que	O
sí	O
porque	O
está	O
desconfïada	O
que	O
si	O
aquel	O
galán	O
se	O
va	O
en	O
un	O
año	O
no	O
hallará	O
otro	O
que	O
le	O
diga	O
nada	O
Una	O
hermosa	O
en	O
confïanza	O
de	O
los	O
que	O
la	O
han	O
de	O
querer	O
por	O
lo	O
que	O
ha	O
de	O
merecer	O
desestima	O
lo	O
que	O
alcanza	O
De	O
manera	O
que	O
las	O
feas	O
son	O
fáciles	O
Esto	O
siento	O
Dichoso	O
tu	O
pensamiento	O
que	O
en	O
tal	O
belleza	O
te	O
empleas	O
fabio	O
marcelo	O
fabio	O
marcelo	O
Mil	O
gracias	O
Fabio	O
le	O
dan	O
mis	O
celos	O
celoso	O
estuve	O
al	O
alférez	O
con	O
quien	O
tuve	O
tal	O
pesadumbre	O
en	O
Milán	B-LOC
Por	O
él	O
la	O
guerra	O
dejé	O
y	O
en	O
la	O
que	O
me	O
dieron	O
celos	O
por	O
la	O
piedad	O
de	O
los	O
cielos	O
ya	O
pongo	O
en	O
Madrid	B-LOC
el	O
pie	O
Sospechas	O
me	O
dio	O
que	O
había	O
aquel	O
alférez	O
valiente	O
de	O
procurar	O
libremente	O
señor	O
tu	O
muerte	O
y	O
la	O
mía	O
Que	O
como	O
buen	O
escudero	O
me	O
afirmé	O
con	O
don	O
Luïs	O
cuando	O
tras	O
de	O
aquel	O
«mentís»	O
le	O
diste	O
con	O
el	O
sombrero	O
En	O
fin	O
ha	O
sido	O
cordura	O
dejar	O
Marcelo	O
a	O
Milán	B-LOC
por	O
Madrid	B-LOC
adonde	O
están	O
las	O
armas	O
de	O
la	O
hermosura	O
Esta	O
es	O
la	O
casa	O
en	O
que	O
vive	O
el	O
dueño	O
de	O
tu	O
cuidado	O
Oh	O
edificio	O
el	O
más	O
honrado	O
